dt: 608.611 | dm: 56.5322 | avg dt: 608.611 | avg dm: 56.5322
dt: 0.795364 | dm: 33.042 | avg dt: 304.703 | avg dm: 44.7871
dt: 0.425885 | dm: 15.751 | avg dt: 203.277 | avg dm: 35.1084
dt: 0.913697 | dm: 80.3076 | avg dt: 152.687 | avg dm: 46.4082
dt: 0.409687 | dm: 25.3955 | avg dt: 122.231 | avg dm: 42.2057
dt: 0.495625 | dm: 21.6455 | avg dt: 101.942 | avg dm: 38.779
dt: 0.48901 | dm: 17.8955 | avg dt: 87.4486 | avg dm: 35.7956
dt: 3.05479 | dm: 305.163 | avg dt: 76.8994 | avg dm: 69.4666
dt: 1.28885 | dm: 74.3955 | avg dt: 68.4982 | avg dm: 70.0142
dt: 0.801718 | dm: 70.6455 | avg dt: 61.7286 | avg dm: 70.0773
dt: 0.627708 | dm: 66.8955 | avg dt: 56.174 | avg dm: 69.7881
dt: 0.720885 | dm: 63.1455 | avg dt: 51.5529 | avg dm: 69.2345
dt: 0.678802 | dm: 59.3955 | avg dt: 47.6395 | avg dm: 68.4777
dt: 0.644583 | dm: 55.6455 | avg dt: 44.2827 | avg dm: 67.5611
dt: 0.723125 | dm: 52.1416 | avg dt: 41.3787 | avg dm: 66.5331
dt: 2.44505 | dm: 50.3564 | avg dt: 38.9454 | avg dm: 65.5221
dt: 0.539531 | dm: 44.3955 | avg dt: 36.6862 | avg dm: 64.2794
dt: 0.70052 | dm: 40.6455 | avg dt: 34.687 | avg dm: 62.9664
dt: 0.555051 | dm: 36.8955 | avg dt: 32.8906 | avg dm: 61.5942
dt: 0.507708 | dm: 33.1455 | avg dt: 31.2714 | avg dm: 60.1718
dt: 0.449479 | dm: 29.3955 | avg dt: 29.8037 | avg dm: 58.7062
dt: 0.768593 | dm: 25.6455 | avg dt: 28.4839 | avg dm: 57.2035
dt: 0.577656 | dm: 21.8955 | avg dt: 27.2706 | avg dm: 55.6684
dt: 0.561198 | dm: 18.1455 | avg dt: 26.1577 | avg dm: 54.1049
dt: 2.88687 | dm: 209.296 | avg dt: 25.2269 | avg dm: 60.3125
dt: 0.835208 | dm: 74.6455 | avg dt: 24.2888 | avg dm: 60.8638
dt: 0.929218 | dm: 70.8955 | avg dt: 23.4236 | avg dm: 61.2354
dt: 0.620416 | dm: 67.1455 | avg dt: 22.6092 | avg dm: 61.4464
dt: 0.61828 | dm: 63.3955 | avg dt: 21.8509 | avg dm: 61.5136
dt: 0.577187 | dm: 59.6455 | avg dt: 21.1418 | avg dm: 61.4514
dt: 0.536041 | dm: 55.8955 | avg dt: 20.4771 | avg dm: 61.2721
dt: 0.576041 | dm: 52.1455 | avg dt: 19.8552 | avg dm: 60.9869
dt: 0.608073 | dm: 48.3955 | avg dt: 19.2719 | avg dm: 60.6054
dt: 0.561041 | dm: 57.4658 | avg dt: 18.7216 | avg dm: 60.513
dt: 0.768488 | dm: -29.7383 | avg dt: 18.2086 | avg dm: 57.9344
dt: 0.511458 | dm: 37.1455 | avg dt: 17.7171 | avg dm: 57.357
dt: 0.402708 | dm: 33.3955 | avg dt: 17.2491 | avg dm: 56.7094
dt: 0.367082 | dm: 29.6455 | avg dt: 16.8048 | avg dm: 55.9971
dt: 0.481198 | dm: 25.8955 | avg dt: 16.3863 | avg dm: 55.2253
dt: 0.345989 | dm: 22.1455 | avg dt: 15.9853 | avg dm: 54.3983
dt: 0.428176 | dm: 18.3955 | avg dt: 15.6058 | avg dm: 53.5202
dt: 2.14687 | dm: 163.136 | avg dt: 15.2854 | avg dm: 56.1301
dt: 0.740885 | dm: 59.2197 | avg dt: 14.9471 | avg dm: 56.2019
dt: 0.392083 | dm: 55.4697 | avg dt: 14.6163 | avg dm: 56.1853
dt: 0.418905 | dm: 51.7197 | avg dt: 14.3008 | avg dm: 56.0861
dt: 0.434687 | dm: 47.9697 | avg dt: 13.9994 | avg dm: 55.9096
dt: 0.389114 | dm: 44.2197 | avg dt: 13.7098 | avg dm: 55.6609
dt: 0.384271 | dm: 40.4697 | avg dt: 13.4322 | avg dm: 55.3444
dt: 0.354219 | dm: 36.7197 | avg dt: 13.1653 | avg dm: 54.9643
dt: 0.407916 | dm: 32.9697 | avg dt: 12.9102 | avg dm: 54.5244
dt: 0.373229 | dm: 29.2197 | avg dt: 12.6643 | avg dm: 54.0283
dt: 0.352396 | dm: 25.4697 | avg dt: 12.4276 | avg dm: 53.4791
dt: 0.358854 | dm: 21.7197 | avg dt: 12.1999 | avg dm: 52.8798
dt: 0.399219 | dm: 17.9697 | avg dt: 11.9813 | avg dm: 52.2333
dt: 1.86172 | dm: 273.312 | avg dt: 11.7973 | avg dm: 56.2529
dt: 0.823436 | dm: 74.4697 | avg dt: 11.6014 | avg dm: 56.5782
dt: 0.503749 | dm: 70.7197 | avg dt: 11.4067 | avg dm: 56.8263
dt: 0.48802 | dm: 66.9697 | avg dt: 11.2184 | avg dm: 57.0012
dt: 0.578489 | dm: 63.2197 | avg dt: 11.0381 | avg dm: 57.1066
dt: 0.614218 | dm: 59.4697 | avg dt: 10.8644 | avg dm: 57.146
dt: 0.544791 | dm: 55.7197 | avg dt: 10.6952 | avg dm: 57.1226
dt: 0.444115 | dm: 51.9697 | avg dt: 10.5298 | avg dm: 57.0395
dt: 0.425572 | dm: 48.2197 | avg dt: 10.3695 | avg dm: 56.8995
dt: 0.480416 | dm: 44.4697 | avg dt: 10.2149 | avg dm: 56.7053
dt: 0.503594 | dm: 40.7197 | avg dt: 10.0655 | avg dm: 56.4594
