dt: 0.566664 | dm: 31.6338 | avg dt: 0.566664 | avg dm: 31.6338
dt: 0.370519 | dm: 15.0781 | avg dt: 0.468591 | avg dm: 23.356
dt: 0.338644 | dm: 15.0781 | avg dt: 0.870725 | avg dm: 19.8959
dt: 0.343904 | dm: 18.8447 | avg dt: 0.846804 | avg dm: 19.5956
dt: 0.328332 | dm: 18.8447 | avg dt: 0.935539 | avg dm: 19.4287
dt: 0.335102 | dm: 18.8447 | avg dt: 0.909299 | avg dm: 19.3225
dt: 0.339999 | dm: 18.8447 | avg dt: 0.892355 | avg dm: 19.249
dt: 0.341144 | dm: 18.8447 | avg dt: 0.878742 | avg dm: 19.1951
dt: 0.319686 | dm: 18.8447 | avg dt: 0.815495 | avg dm: 19.1539
dt: 0.326821 | dm: 18.8447 | avg dt: 0.805813 | avg dm: 19.1214
dt: 0.338644 | dm: 18.8447 | avg dt: 0.782454 | avg dm: 19.1075
dt: 0.336352 | dm: 18.8447 | avg dt: 0.802195 | avg dm: 19.0732
dt: 0.3338 | dm: 18.8447 | avg dt: 0.763786 | avg dm: 19.055
dt: 0.351925 | dm: 18.8447 | avg dt: 0.764697 | avg dm: 19.0394
dt: 0.37229 | dm: 18.8447 | avg dt: 0.750683 | avg dm: 19.0324
dt: 0.319895 | dm: 18.8447 | avg dt: 0.769457 | avg dm: 19.0143
dt: 0.377498 | dm: 18.8447 | avg dt: 0.774963 | avg dm: 19.004
dt: 0.378331 | dm: 18.8447 | avg dt: 0.771035 | avg dm: 18.9949
dt: 0.362603 | dm: 18.8447 | avg dt: 0.773342 | avg dm: 18.9868
dt: 0.393592 | dm: 18.8447 | avg dt: 0.763349 | avg dm: 18.983
dt: 0.382551 | dm: 18.8447 | avg dt: 0.840828 | avg dm: 18.9729
dt: 0.361978 | dm: 18.8447 | avg dt: 0.863914 | avg dm: 18.967
dt: 0.367758 | dm: 18.8447 | avg dt: 0.862166 | avg dm: 18.9615
dt: 0.369529 | dm: 4.05566 | avg dt: 0.841907 | avg dm: 18.6419
dt: 0.535518 | dm: -6.75781 | avg dt: 0.848705 | avg dm: 18.2811
dt: 1.03911 | dm: 18.8447 | avg dt: 0.862255 | avg dm: 18.3032
dt: 0.603903 | dm: 18.8447 | avg dt: 0.892983 | avg dm: 18.3236
dt: 0.599528 | dm: 18.8447 | avg dt: 0.887549 | avg dm: 18.3333
dt: 0.592445 | dm: 18.8447 | avg dt: 0.921308 | avg dm: 18.3602
dt: 0.64406 | dm: 18.8447 | avg dt: 0.998006 | avg dm: 18.3766
dt: 0.59958 | dm: 18.8447 | avg dt: 1.02344 | avg dm: 18.392
dt: 0.289634 | dm: 18.8447 | avg dt: 1.00068 | avg dm: 18.4063
dt: 0.331353 | dm: 18.8447 | avg dt: 0.979808 | avg dm: 18.4198
dt: 0.318124 | dm: 18.8447 | avg dt: 0.969783 | avg dm: 18.4263
dt: 0.320102 | dm: 18.8447 | avg dt: 0.950695 | avg dm: 18.4386
dt: 0.319374 | dm: 18.8447 | avg dt: 0.9241 | avg dm: 18.4557
dt: 0.299478 | dm: 18.8447 | avg dt: 0.906917 | avg dm: 18.4664
dt: 0.326613 | dm: 18.8447 | avg dt: 0.899075 | avg dm: 18.4715
dt: 0.32828 | dm: 18.8447 | avg dt: 0.883975 | avg dm: 18.4813
dt: 0.318436 | dm: 18.8447 | avg dt: 0.862244 | avg dm: 18.4951
dt: 0.318384 | dm: 18.8447 | avg dt: 0.848914 | avg dm: 18.5037
dt: 0.306144 | dm: 18.8447 | avg dt: 0.83579 | avg dm: 18.512
dt: 0.332811 | dm: 18.8447 | avg dt: 0.823898 | avg dm: 18.5198
dt: 0.346717 | dm: 18.8447 | avg dt: 0.818349 | avg dm: 18.5236
dt: 0.324165 | dm: 18.8447 | avg dt: 0.801357 | avg dm: 18.5344
dt: 0.298436 | dm: 18.8447 | avg dt: 0.790657 | avg dm: 18.5412
dt: 0.314061 | dm: 18.8447 | avg dt: 0.785477 | avg dm: 18.5445
dt: 0.289894 | dm: 18.8447 | avg dt: 0.775331 | avg dm: 18.5509
