dt: 1.0226 | dm: 108.176 | avg dt: 1.0226 | avg dm: 108.176
dt: 1.16463 | dm: 90.3564 | avg dt: 1.09362 | avg dm: 99.2661
dt: 0.755674 | dm: 150.606 | avg dt: 0.980969 | avg dm: 116.38
dt: 0.817497 | dm: 196.052 | avg dt: 0.940101 | avg dm: 136.298
dt: 0.839737 | dm: 256.302 | avg dt: 0.920028 | avg dm: 160.298
dt: 0.895779 | dm: 316.552 | avg dt: 0.915987 | avg dm: 186.341
dt: 1.60755 | dm: 376.802 | avg dt: 1.01478 | avg dm: 213.549
dt: 1.12286 | dm: 437.192 | avg dt: 1.02829 | avg dm: 241.505
dt: 1.65786 | dm: 497.302 | avg dt: 1.09824 | avg dm: 269.927
dt: 3.06119 | dm: 557.552 | avg dt: 1.29454 | avg dm: 298.689
dt: 2.1226 | dm: 617.802 | avg dt: 1.36982 | avg dm: 327.699
dt: 2.31984 | dm: 678.052 | avg dt: 1.44898 | avg dm: 356.895
dt: 3.99941 | dm: 738.302 | avg dt: 1.64517 | avg dm: 386.234
dt: 2.66478 | dm: 798.552 | avg dt: 1.718 | avg dm: 415.686
dt: 2.88114 | dm: 858.802 | avg dt: 1.79554 | avg dm: 445.227
dt: 3.41541 | dm: -225.795 | avg dt: 1.89678 | avg dm: 403.288
dt: 1.85833 | dm: 979.083 | avg dt: 1.89452 | avg dm: 437.158
dt: 4.15212 | dm: 1039.55 | avg dt: 2.01994 | avg dm: 470.624
dt: 3.48827 | dm: 1099.8 | avg dt: 2.09723 | avg dm: 503.739
dt: 3.72129 | dm: 1160.05 | avg dt: 2.17843 | avg dm: 536.555
dt: 4.95071 | dm: 1220.3 | avg dt: 2.31044 | avg dm: 569.114
dt: 3.77384 | dm: 1280.55 | avg dt: 2.37696 | avg dm: 601.452
dt: 5.44988 | dm: 1340.8 | avg dt: 2.51057 | avg dm: 633.598
dt: 4.93342 | dm: 1401.05 | avg dt: 2.61152 | avg dm: 665.575
dt: 6.26394 | dm: 1461.3 | avg dt: 2.75762 | avg dm: 697.404
dt: 8.28498 | dm: 1534.51 | avg dt: 2.97021 | avg dm: 729.601
dt: 6.90691 | dm: 1581.8 | avg dt: 3.11601 | avg dm: 761.164
dt: 5.09655 | dm: 1642.05 | avg dt: 3.18674 | avg dm: 792.624
dt: 7.28086 | dm: 1702.3 | avg dt: 3.32792 | avg dm: 823.992
